Instructor Name,HCM Home Dept,Crosslisted Course Flag,Course Subject Short Nm,Course Number,Course Title Nm,Pct of Instructor Hrs Taught,Semester Year Name Concat,Prorated Instr Enrollment Cnt,Crs Academic Division Nm,Section Nbr
Alessandro Chiesa,Electrical Eng & Computer Sci,,Computer Science,399,Supervised Teaching,50,2018 Fall,7,College of Engineering (Division Lvl),003
Alessandro Chiesa,Electrical Eng & Computer Sci,,Computer Science,399,Supervised Teaching,50,2019 Fall,13.5,College of Engineering (Division Lvl),003
Alexei Efros,Electrical Eng & Computer Sci,Y,Computer Science,C280,Computer Vision,33.33333333,2018 Spring,35.6666666667,College of Engineering (Division Lvl),001
Alexei Efros,Electrical Eng & Computer Sci,Y,Computer Science,C280,Computer Vision,33.33333333,2019 Spring,30.3333333333,College of Engineering (Division Lvl),001
Alexei Efros,Electrical Eng & Computer Sci,Y,Computer Science,C280,Computer Vision,50,2017 Spring,41,College of Engineering (Division Lvl),001
Alexei Efros,Electrical Eng & Computer Sci,Y,Vision Science,C280,Computer Vision,50,2017 Spring,0.5,School of Optometry (Division Lvl),001
Alexei Efros,Electrical Eng & Computer Sci,,Computer Science,194,Special Topics,100,2016 Fall,95,College of Engineering (Division Lvl),026
Alexei Efros,Electrical Eng & Computer Sci,,Computer Science,194,Special Topics,100,2017 Fall,141,College of Engineering (Division Lvl),026
Alexei Efros,Electrical Eng & Computer Sci,,Computer Science,194,Special Topics,100,2018 Fall,157,College of Engineering (Division Lvl),026
Alexei Efros,Electrical Eng & Computer Sci,,Computer Science,199,Superv Indep Study,100,2016 Fall,8,College of Engineering (Division Lvl),053
Alexei Efros,Electrical Eng & Computer Sci,,Computer Science,199,Superv Indep Study,100,2017 Spring,3,College of Engineering (Division Lvl),027
Alexei Efros,Electrical Eng & Computer Sci,,Computer Science,199,Superv Indep Study,100,2017 Fall,3,College of Engineering (Division Lvl),053
Alexei Efros,Electrical Eng & Computer Sci,,Computer Science,199,Superv Indep Study,100,2018 Fall,3,College of Engineering (Division Lvl),053
Alexei Efros,Electrical Eng & Computer Sci,,Computer Science,199,Superv Indep Study,100,2018 Fall,8,College of Engineering (Division Lvl),082
Alexei Efros,Electrical Eng & Computer Sci,,Computer Science,199,Superv Indep Study,100,2019 Spring,1,College of Engineering (Division Lvl),027
Alexei Efros,Electrical Eng & Computer Sci,,Computer Science,199,Superv Indep Study,100,2019 Fall,1,College of Engineering (Division Lvl),053
Alexei Efros,Electrical Eng & Computer Sci,,Computer Science,199,Superv Indep Study,100,2019 Fall,1,College of Engineering (Division Lvl),082
Alexei Efros,Electrical Eng & Computer Sci,,Computer Science,294,Special Topics,20,2018 Spring,2,College of Engineering (Division Lvl),043
Alexei Efros,Electrical Eng & Computer Sci,,Computer Science,294,Special Topics,25,2016 Fall,9,College of Engineering (Division Lvl),043
Alexei Efros,Electrical Eng & Computer Sci,,Computer Science,294,Special Topics,25,2017 Spring,6,College of Engineering (Division Lvl),043
Alexei Efros,Electrical Eng & Computer Sci,,Computer Science,294,Special Topics,30,2018 Spring,3,College of Engineering (Division Lvl),043
Alexei Efros,Electrical Eng & Computer Sci,,Computer Science,294,Special Topics,50,2017 Fall,6.5,College of Engineering (Division Lvl),043
Alexei Efros,Electrical Eng & Computer Sci,,Computer Science,294,Special Topics,100,2016 Fall,5,College of Engineering (Division Lvl),026
Alexei Efros,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2016 Fall,4,College of Engineering (Division Lvl),080
Alexei Efros,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2017 Spring,9,College of Engineering (Division Lvl),030
Alexei Efros,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2017 Fall,8,College of Engineering (Division Lvl),080
Alexei Efros,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2018 Spring,6,College of Engineering (Division Lvl),030
Alexei Efros,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2018 Fall,6,College of Engineering (Division Lvl),080
Alexei Efros,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2019 Spring,6,College of Engineering (Division Lvl),030
Alexei Efros,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2019 Fall,7,College of Engineering (Division Lvl),080
Alexei Efros,Electrical Eng & Computer Sci,,Electrical Engineering,299,Indiv Research,100,2016 Fall,2,College of Engineering (Division Lvl),081
Alexei Efros,Electrical Eng & Computer Sci,,Electrical Engineering,299,Indiv Research,100,2017 Fall,1,College of Engineering (Division Lvl),081
Alexei Efros,Electrical Eng & Computer Sci,,Electrical Engineering,299,Indiv Research,100,2019 Spring,1,College of Engineering (Division Lvl),112
Ali Javey,Electrical Eng & Computer Sci,,Applied Science & Tech,299,Individual Research,100,2016 Fall,1,College of Engineering (Division Lvl),025
Ali Javey,Electrical Eng & Computer Sci,,Applied Science & Tech,299,Individual Research,100,2017 Spring,1,College of Engineering (Division Lvl),014
Ali Javey,Electrical Eng & Computer Sci,,Applied Science & Tech,299,Individual Research,100,2017 Fall,1,College of Engineering (Division Lvl),025
Ali Javey,Electrical Eng & Computer Sci,,Applied Science & Tech,299,Individual Research,100,2018 Spring,1,College of Engineering (Division Lvl),014
Ali Javey,Electrical Eng & Computer Sci,,Applied Science & Tech,299,Individual Research,100,2018 Fall,2,College of Engineering (Division Lvl),025
Ali Javey,Electrical Eng & Computer Sci,,Applied Science & Tech,299,Individual Research,100,2019 Fall,3,College of Engineering (Division Lvl),025
Ali Javey,Electrical Eng & Computer Sci,,Electrical Engineering,130,Ic Devices,100,2016 Fall,21,College of Engineering (Division Lvl),001
Ali Javey,Electrical Eng & Computer Sci,,Electrical Engineering,130,Ic Devices,100,2017 Fall,21,College of Engineering (Division Lvl),001
Ali Javey,Electrical Eng & Computer Sci,,Electrical Engineering,130,Ic Devices,100,2019 Fall,14,College of Engineering (Division Lvl),001
Ali Javey,Electrical Eng & Computer Sci,,Electrical Engineering,143,Microfab Tech,100,2017 Spring,28,College of Engineering (Division Lvl),001
Ali Javey,Electrical Eng & Computer Sci,,Electrical Engineering,143,Microfab Tech,100,2018 Spring,36,College of Engineering (Division Lvl),001
Ali Javey,Electrical Eng & Computer Sci,,Electrical Engineering,199,Superv Indep Study,100,2016 Fall,1,College of Engineering (Division Lvl),057
Ali Javey,Electrical Eng & Computer Sci,,Electrical Engineering,199,Superv Indep Study,100,2017 Spring,3,College of Engineering (Division Lvl),060
Ali Javey,Electrical Eng & Computer Sci,,Electrical Engineering,199,Superv Indep Study,100,2019 Fall,1,College of Engineering (Division Lvl),057
Ali Javey,Electrical Eng & Computer Sci,,Electrical Engineering,230A,Ic Devices,100,2016 Fall,23,College of Engineering (Division Lvl),001
Ali Javey,Electrical Eng & Computer Sci,,Electrical Engineering,230A,Ic Devices,100,2017 Fall,24,College of Engineering (Division Lvl),001
Ali Javey,Electrical Eng & Computer Sci,,Electrical Engineering,230A,Ic Devices,100,2019 Fall,16,College of Engineering (Division Lvl),001
Ali Javey,Electrical Eng & Computer Sci,,Electrical Engineering,W230A,Ic Devices,100,2017 Spring,2,College of Engineering (Division Lvl),001
Ali Javey,Electrical Eng & Computer Sci,,Electrical Engineering,W230A,Ic Devices,100,2017 Fall,1,College of Engineering (Division Lvl),001
Ali Javey,Electrical Eng & Computer Sci,,Electrical Engineering,299,Indiv Research,100,2016 Fall,9,College of Engineering (Division Lvl),030
Ali Javey,Electrical Eng & Computer Sci,,Electrical Engineering,299,Indiv Research,100,2017 Spring,9,College of Engineering (Division Lvl),022
Ali Javey,Electrical Eng & Computer Sci,,Electrical Engineering,299,Indiv Research,100,2017 Fall,10,College of Engineering (Division Lvl),030
Ali Javey,Electrical Eng & Computer Sci,,Electrical Engineering,299,Indiv Research,100,2018 Spring,10,College of Engineering (Division Lvl),022
Ali Javey,Electrical Eng & Computer Sci,,Electrical Engineering,299,Indiv Research,100,2018 Fall,11,College of Engineering (Division Lvl),030
Ali Javey,Electrical Eng & Computer Sci,,Electrical Engineering,299,Indiv Research,100,2019 Fall,7,College of Engineering (Division Lvl),030
Ali Javey,Electrical Eng & Computer Sci,,Engineering,296MA,Capstone Project,100,2019 Fall,1,College of Engineering (Division Lvl),002
Ali Niknejad,Electrical Eng & Computer Sci,,Electrical Engineering,105,Micro Dev & Cir,50,2017 Spring,13,College of Engineering (Division Lvl),001
Ali Niknejad,Electrical Eng & Computer Sci,,Electrical Engineering,105,Micro Dev & Cir,100,2016 Fall,67,College of Engineering (Division Lvl),001
Ali Niknejad,Electrical Eng & Computer Sci,,Electrical Engineering,105,Micro Dev & Cir,100,2018 Spring,37,College of Engineering (Division Lvl),001
Ali Niknejad,Electrical Eng & Computer Sci,,Electrical Engineering,142,Integ Circ For Comm,100,2017 Fall,18,College of Engineering (Division Lvl),001
Ali Niknejad,Electrical Eng & Computer Sci,,Electrical Engineering,142,Integ Circ For Comm,100,2018 Fall,8,College of Engineering (Division Lvl),001
Ali Niknejad,Electrical Eng & Computer Sci,,Electrical Engineering,199,Superv Indep Study,100,2017 Spring,1,College of Engineering (Division Lvl),030
Ali Niknejad,Electrical Eng & Computer Sci,,Electrical Engineering,199,Superv Indep Study,100,2017 Fall,1,College of Engineering (Division Lvl),030
Ali Niknejad,Electrical Eng & Computer Sci,,Electrical Engineering,199,Superv Indep Study,100,2018 Spring,1,College of Engineering (Division Lvl),030
Ali Niknejad,Electrical Eng & Computer Sci,,Electrical Engineering,199,Superv Indep Study,100,2018 Fall,1,College of Engineering (Division Lvl),030
Ali Niknejad,Electrical Eng & Computer Sci,,Electrical Engineering,242A,Integ Circ For Comm,100,2017 Fall,11,College of Engineering (Division Lvl),001
Ali Niknejad,Electrical Eng & Computer Sci,,Electrical Engineering,242A,Integ Circ For Comm,100,2018 Fall,18,College of Engineering (Division Lvl),001
Ali Niknejad,Electrical Eng & Computer Sci,,Electrical Engineering,W242A,Ics For Communicati,100,2017 Fall,2,College of Engineering (Division Lvl),001
Ali Niknejad,Electrical Eng & Computer Sci,,Electrical Engineering,W242A,Ics For Communicati,100,2018 Fall,2,College of Engineering (Division Lvl),001
Ali Niknejad,Electrical Eng & Computer Sci,,Electrical Engineering,W242B,Adv Ics For Comm,100,2018 Spring,1,College of Engineering (Division Lvl),001
Ali Niknejad,Electrical Eng & Computer Sci,,Electrical Engineering,299,Indiv Research,100,2016 Fall,11,College of Engineering (Division Lvl),050
Ali Niknejad,Electrical Eng & Computer Sci,,Electrical Engineering,299,Indiv Research,100,2017 Spring,11,College of Engineering (Division Lvl),040
Ali Niknejad,Electrical Eng & Computer Sci,,Electrical Engineering,299,Indiv Research,100,2017 Fall,9,College of Engineering (Division Lvl),050
Ali Niknejad,Electrical Eng & Computer Sci,,Electrical Engineering,299,Indiv Research,100,2018 Spring,8,College of Engineering (Division Lvl),040
Ali Niknejad,Electrical Eng & Computer Sci,,Electrical Engineering,299,Indiv Research,100,2018 Fall,14,College of Engineering (Division Lvl),050
Ali Niknejad,Electrical Eng & Computer Sci,,Electrical Engineering,299,Indiv Research,100,2019 Fall,10,College of Engineering (Division Lvl),050
Alistair Sinclair,Electrical Eng & Computer Sci,,Computer Science,70,Discrete Math&Prob,50,2018 Fall,446.5,College of Engineering (Division Lvl),001
Alistair Sinclair,Electrical Eng & Computer Sci,,Computer Science,70,Discrete Math&Prob,50,2019 Fall,438,College of Engineering (Division Lvl),001
Alistair Sinclair,Electrical Eng & Computer Sci,,Computer Science,197,Field Study,50,2018 Fall,8,College of Engineering (Division Lvl),219
Alistair Sinclair,Electrical Eng & Computer Sci,,Computer Science,199,Superv Indep Study,100,2017 Spring,1,College of Engineering (Division Lvl),082
Alistair Sinclair,Electrical Eng & Computer Sci,,Computer Science,271,Rand Computation,50,2020 Spring,16.5,College of Engineering (Division Lvl),001
Alistair Sinclair,Electrical Eng & Computer Sci,,Computer Science,271,Rand Computation,100,2018 Spring,52,College of Engineering (Division Lvl),001
Alistair Sinclair,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2016 Fall,2,College of Engineering (Division Lvl),059
Alistair Sinclair,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2017 Spring,2,College of Engineering (Division Lvl),102
Alistair Sinclair,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2017 Fall,2,College of Engineering (Division Lvl),059
Alistair Sinclair,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2018 Spring,2,College of Engineering (Division Lvl),102
Alistair Sinclair,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2018 Fall,4,College of Engineering (Division Lvl),059
Alistair Sinclair,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2019 Fall,1,College of Engineering (Division Lvl),059
Alistair Sinclair,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2020 Spring,1,College of Engineering (Division Lvl),102
Alistair Sinclair,Electrical Eng & Computer Sci,,Computer Science,399,Supervised Teaching,100,2018 Fall,4,College of Engineering (Division Lvl),052
Alistair Sinclair,Electrical Eng & Computer Sci,,Computer Science,399,Supervised Teaching,100,2019 Fall,10,College of Engineering (Division Lvl),052
Alistair Sinclair,Electrical Eng & Computer Sci,,Electrical Eng & Computer Sci,47F,Supl Disc Math&Prob,50,2018 Fall,1,College of Engineering (Division Lvl),001
Alistair Sinclair,Electrical Eng & Computer Sci,,Electrical Eng & Computer Sci,47F,Supl Disc Math&Prob,50,2019 Fall,1,College of Engineering (Division Lvl),001
Alvin Cheung,Electrical Eng & Computer Sci,,Computer Science,263,Prog Lang Design,100,2019 Fall,14,College of Engineering (Division Lvl),001
Amir Yehudayoff,Electrical Eng & Computer Sci,,Computer Science,172,Comp And Complexity,100,2019 Spring,58,College of Engineering (Division Lvl),001
Amir Yehudayoff,Electrical Eng & Computer Sci,,Computer Science,399,Supervised Teaching,100,2019 Spring,2,College of Engineering (Division Lvl),047
Amit Shukla,Electrical Eng & Computer Sci,,Computer Science,186,Intro To Database,50,2016 Fall,222.5,College of Engineering (Division Lvl),001
Amit Shukla,Electrical Eng & Computer Sci,,Computer Science,286A,Intro To Database,50,2016 Fall,6,College of Engineering (Division Lvl),001
Amit Shukla,Electrical Eng & Computer Sci,,Computer Science,399,Supervised Teaching,100,2016 Fall,3,College of Engineering (Division Lvl),035
Ana Arias,Electrical Eng & Computer Sci,,Bioengineering,H194,Hon Undergrad Res,100,2018 Fall,2,College of Engineering (Division Lvl),031
Ana Arias,Electrical Eng & Computer Sci,,Bioengineering,196,Underg Des Res,100,2017 Fall,1,College of Engineering (Division Lvl),37
Ana Arias,Electrical Eng & Computer Sci,,Bioengineering,196,Underg Des Res,100,2018 Spring,1,College of Engineering (Division Lvl),033
Ana Arias,Electrical Eng & Computer Sci,,Electrical Engineering,134,Photovoltaic Devic,100,2017 Spring,26,College of Engineering (Division Lvl),001
Ana Arias,Electrical Eng & Computer Sci,,Electrical Engineering,134,Photovoltaic Devic,100,2018 Spring,25,College of Engineering (Division Lvl),001
Ana Arias,Electrical Eng & Computer Sci,,Electrical Engineering,143,Microfab Tech,100,2017 Fall,21,College of Engineering (Division Lvl),001
Ana Arias,Electrical Eng & Computer Sci,,Electrical Engineering,143,Microfab Tech,100,2018 Fall,36,College of Engineering (Division Lvl),001
Ana Arias,Electrical Eng & Computer Sci,,Electrical Engineering,143,Microfab Tech,100,2019 Fall,32,College of Engineering (Division Lvl),001
Ana Arias,Electrical Eng & Computer Sci,,Electrical Engineering,199,Superv Indep Study,100,2018 Fall,1,College of Engineering (Division Lvl),067
Ana Arias,Electrical Eng & Computer Sci,,Electrical Engineering,299,Indiv Research,100,2016 Fall,8,College of Engineering (Division Lvl),004
Ana Arias,Electrical Eng & Computer Sci,,Electrical Engineering,299,Indiv Research,100,2017 Spring,9,College of Engineering (Division Lvl),075
Ana Arias,Electrical Eng & Computer Sci,,Electrical Engineering,299,Indiv Research,100,2017 Fall,9,College of Engineering (Division Lvl),004
Ana Arias,Electrical Eng & Computer Sci,,Electrical Engineering,299,Indiv Research,100,2018 Spring,7,College of Engineering (Division Lvl),075
Ana Arias,Electrical Eng & Computer Sci,,Electrical Engineering,299,Indiv Research,100,2018 Fall,8,College of Engineering (Division Lvl),004
Ana Arias,Electrical Eng & Computer Sci,,Electrical Engineering,299,Indiv Research,100,2019 Fall,10,College of Engineering (Division Lvl),004
Ana Arias,Electrical Eng & Computer Sci,,Engineering,93,Energy Eng Seminar,100,2017 Fall,40,College of Engineering (Division Lvl),001
Ana Arias,Electrical Eng & Computer Sci,,Engineering,93,Energy Eng Seminar,100,2018 Fall,42,College of Engineering (Division Lvl),001
Ana Arias,Electrical Eng & Computer Sci,,Engineering,93,Energy Eng Seminar,100,2019 Fall,49,College of Engineering (Division Lvl),001
Ana Arias,Electrical Eng & Computer Sci,,Engineering,98,Directed Group Stdy,100,2016 Fall,20,College of Engineering (Division Lvl),016
Ana Arias,Electrical Eng & Computer Sci,,Engineering,194,Ugrd Rsrch,100,2017 Spring,1,College of Engineering (Division Lvl),001
Ana Arias,Electrical Eng & Computer Sci,,Engineering,198,Directed Group Stdy,100,2016 Fall,7,College of Engineering (Division Lvl),016
Anant Sahai,Electrical Eng & Computer Sci,,Computer Science,70,Discrete Math&Prob,50,2020 Spring,336.5,College of Engineering (Division Lvl),001
Anant Sahai,Electrical Eng & Computer Sci,,Computer Science,189,Intro Machine Learn,50,2017 Fall,131,College of Engineering (Division Lvl),001
Anant Sahai,Electrical Eng & Computer Sci,,Computer Science,189,Intro Machine Learn,50,2018 Spring,152,College of Engineering (Division Lvl),001
Anant Sahai,Electrical Eng & Computer Sci,,Computer Science,194,Special Topics,100,2017 Spring,11,College of Engineering (Division Lvl),133
Anant Sahai,Electrical Eng & Computer Sci,,Computer Science,197,Field Study,100,2017 Spring,3,College of Engineering (Division Lvl),204
Anant Sahai,Electrical Eng & Computer Sci,,Computer Science,197,Field Study,100,2017 Fall,11,College of Engineering (Division Lvl),205
Anant Sahai,Electrical Eng & Computer Sci,,Computer Science,197,Field Study,100,2018 Spring,28,College of Engineering (Division Lvl),204
Anant Sahai,Electrical Eng & Computer Sci,,Computer Science,197,Field Study,100,2018 Fall,1,College of Engineering (Division Lvl),205
Anant Sahai,Electrical Eng & Computer Sci,,Computer Science,198,Directed Group Stdy,100,2017 Spring,15,College of Engineering (Division Lvl),071
Anant Sahai,Electrical Eng & Computer Sci,,Computer Science,198,Directed Group Stdy,100,2017 Fall,21,College of Engineering (Division Lvl),071
Anant Sahai,Electrical Eng & Computer Sci,,Computer Science,198,Directed Group Stdy,100,2018 Spring,20,College of Engineering (Division Lvl),071
Anant Sahai,Electrical Eng & Computer Sci,,Computer Science,198,Directed Group Stdy,100,2018 Fall,25,College of Engineering (Division Lvl),071
Anant Sahai,Electrical Eng & Computer Sci,,Computer Science,198,Directed Group Stdy,100,2019 Spring,16,College of Engineering (Division Lvl),071
Anant Sahai,Electrical Eng & Computer Sci,,Computer Science,198,Directed Group Stdy,100,2019 Fall,19,College of Engineering (Division Lvl),071
Anant Sahai,Electrical Eng & Computer Sci,,Computer Science,198,Directed Group Stdy,100,2020 Spring,18,College of Engineering (Division Lvl),071
Anant Sahai,Electrical Eng & Computer Sci,,Computer Science,289A,Intro Machine Learn,50,2017 Fall,31.5,College of Engineering (Division Lvl),001
Anant Sahai,Electrical Eng & Computer Sci,,Computer Science,289A,Intro Machine Learn,50,2018 Spring,48,College of Engineering (Division Lvl),001
Anant Sahai,Electrical Eng & Computer Sci,,Computer Science,294,Special Topics,100,2017 Spring,9,College of Engineering (Division Lvl),133
Anant Sahai,Electrical Eng & Computer Sci,,Computer Science,399,Supervised Teaching,100,2017 Fall,1,College of Engineering (Division Lvl),020
Anant Sahai,Electrical Eng & Computer Sci,,Computer Science,399,Supervised Teaching,100,2018 Fall,1,College of Engineering (Division Lvl),020
Anant Sahai,Electrical Eng & Computer Sci,,Computer Science,399,Supervised Teaching,100,2019 Fall,3,College of Engineering (Division Lvl),020
Anant Sahai,Electrical Eng & Computer Sci,,Computer Science,399,Supervised Teaching,100,2020 Spring,12,College of Engineering (Division Lvl),020
Anant Sahai,Electrical Eng & Computer Sci,,Electrical Eng & Computer Sci,47D,Design Info Dev,33.33333333,2017 Fall,3.3333333333,College of Engineering (Division Lvl),001
Anant Sahai,Electrical Eng & Computer Sci,,Electrical Eng & Computer Sci,47E,Sup Design Info Dev,100,2019 Fall,2,College of Engineering (Division Lvl),001
Anant Sahai,Electrical Eng & Computer Sci,,Electrical Engineering,16A,Design Info Dev I,33.33333333,2017 Fall,338.6666666667,College of Engineering (Division Lvl),001
Anant Sahai,Electrical Eng & Computer Sci,,Electrical Engineering,16B,Design Info Dev Ii,16.66666667,2019 Spring,111.1666666667,College of Engineering (Division Lvl),001
Anant Sahai,Electrical Eng & Computer Sci,,Electrical Engineering,16B,Design Info Dev Ii,100,2019 Fall,269,College of Engineering (Division Lvl),001
Anant Sahai,Electrical Eng & Computer Sci,,Electrical Engineering,194,Special Topics,100,2018 Fall,45,College of Engineering (Division Lvl),001
Anant Sahai,Electrical Eng & Computer Sci,,Electrical Engineering,197,Field Study,50,2017 Fall,14,College of Engineering (Division Lvl),205
Anant Sahai,Electrical Eng & Computer Sci,,Electrical Engineering,198,Directed Group Stdy,33.33333333,2019 Spring,0.6666666667,College of Engineering (Division Lvl),13
